Ticker,Name
MMM,3
AOS,A. O. Smit
ABT,Abbott Laboratorie
ABBV,AbbVi
ACN,Accentur
ADBE,Adobe Inc
AMD,Advanced Micro Device
AES,AES Corporatio
AFL,Afla
A,Agilent Technologie
APD,Air Product
ABNB,Airbn
AKAM,Akamai Technologie
ALB,Albemarle Corporatio
ARE,Alexandria Real Estate Equitie
ALGN,Align Technolog
ALLE,Allegio
LNT,Alliant Energ
ALL,Allstat
GOOGL,Alphabet Inc. (Class A
GOOG,Alphabet Inc. (Class C
MO,Altri
AMZN,Amazo
AMCR,Amco
AEE,Amere
AAL,American Airlines Grou
AEP,American Electric Powe
AXP,American Expres
AIG,American International Grou
AMT,American Towe
AWK,American Water Work
AMP,Ameriprise Financia
AME,Amete
AMGN,Amge
APH,Ampheno
ADI,Analog Device
ANSS,Ansy
AON,Ao
APA,APA Corporatio
AAPL,Apple Inc
AMAT,Applied Material
APTV,Apti
ACGL,Arch Capital Grou
ADM,Archer Daniels Midlan
ANET,Arista Network
AJG,Arthur J. Gallagher & Co
AIZ,Assuran
T,AT&
ATO,Atmos Energ
ADSK,Autodes
ADP,Automatic Data Processin
AZO,AutoZon
AVB,AvalonBay Communitie
AVY,Avery Denniso
AXON,Axon Enterpris
BKR,Baker Hughe
BALL,Ball Corporatio
BAC,Bank of Americ
BK,BNY Mello
BBWI,"Bath & Body Works, Inc"
BAX,Baxter Internationa
BDX,Becton Dickinso
BRK.B,Berkshire Hathawa
BBY,Best Bu
BIO,Bio-Rad Laboratorie
TECH,Bio-Techn
BIIB,Bioge
BLK,BlackRoc
BX,Blackstone Inc
BA,Boein
BKNG,Booking Holding
BWA,BorgWarne
BSX,Boston Scientifi
BMY,Bristol Myers Squib
AVGO,Broadco
BR,Broadridge Financial Solution
BRO,Brown & Brow
BF.B,Brown–Forma
BLDR,Builders FirstSourc
BG,Bunge Globa
BXP,"BXP, Inc"
CHRW,C.H. Robinso
CDNS,Cadence Design System
CZR,Caesars Entertainmen
CPT,Camden Property Trus
CPB,Campbell Soup Compan
COF,Capital On
CAH,Cardinal Healt
KMX,CarMa
CCL,Carniva
CARR,Carrier Globa
CTLT,Catalen
CAT,Caterpillar Inc
CBOE,Cboe Global Market
CBRE,CBRE Grou
CDW,CD
CE,Celanes
COR,Cencor
CNC,Centene Corporatio
CNP,CenterPoint Energ
CF,CF Industrie
CRL,Charles River Laboratorie
SCHW,Charles Schwab Corporatio
CHTR,Charter Communication
CVX,Chevron Corporatio
CMG,Chipotle Mexican Gril
CB,Chubb Limite
CHD,Church & Dwigh
CI,Cign
CINF,Cincinnati Financia
CTAS,Cinta
CSCO,Cisc
C,Citigrou
CFG,Citizens Financial Grou
CLX,Cloro
CME,CME Grou
CMS,CMS Energ
KO,Coca-Cola Company (The
CTSH,Cognizan
CL,Colgate-Palmoliv
CMCSA,Comcas
CAG,Conagra Brand
COP,ConocoPhillip
ED,Consolidated Ediso
STZ,Constellation Brand
CEG,Constellation Energ
COO,Cooper Companies (The
CPRT,Copar
GLW,Corning Inc
CPAY,Corpa
CTVA,Cortev
CSGP,CoStar Grou
COST,Costc
CTRA,Coterr
CRWD,CrowdStrik
CCI,Crown Castl
CSX,CSX Corporatio
CMI,Cummin
CVS,CVS Healt
DHR,Danaher Corporatio
DRI,Darden Restaurant
DVA,DaVit
DAY,Dayforc
DECK,Deckers Brand
DE,Deere & Compan
DAL,Delta Air Line
DVN,Devon Energ
DXCM,Dexco
FANG,Diamondback Energ
DLR,Digital Realt
DFS,Discover Financia
DG,Dollar Genera
DLTR,Dollar Tre
D,Dominion Energ
DPZ,Domino'
DOV,Dover Corporatio
DOW,Dow Inc
DHI,DR Horto
DTE,DTE Energ
DUK,Duke Energ
DD,DuPon
EMN,Eastman Chemical Compan
ETN,Eaton Corporatio
EBAY,eBa
ECL,Ecola
EIX,Edison Internationa
EW,Edwards Lifescience
EA,Electronic Art
ELV,Elevance Healt
EMR,Emerson Electri
ENPH,Enphas
ETR,Enterg
EOG,EOG Resource
EPAM,EPAM System
EQT,EQT Corporatio
EFX,Equifa
EQIX,Equini
EQR,Equity Residentia
ESS,Essex Property Trus
EL,Estée Lauder Companies (The
ETSY,Ets
EG,Everest Grou
EVRG,Everg
ES,Eversourc
EXC,Exelo
EXPE,Expedia Grou
EXPD,Expeditors Internationa
EXR,Extra Space Storag
XOM,ExxonMobi
FFIV,"F5, Inc"
FDS,FactSe
FICO,Fair Isaa
FAST,Fastena
FRT,Federal Realt
FDX,FedE
FIS,Fidelity National Information Service
FITB,Fifth Third Ban
FSLR,First Sola
FE,FirstEnerg
FI,Fiser
FMC,FMC Corporatio
F,Ford Motor Compan
FTNT,Fortine
FTV,Fortiv
FOXA,Fox Corporation (Class A
FOX,Fox Corporation (Class B
BEN,Franklin Templeto
FCX,Freeport-McMoRa
GRMN,Garmi
IT,Gartne
GE,GE Aerospac
GEHC,GE HealthCar
GEV,GE Vernov
GEN,Gen Digita
GNRC,Genera
GD,General Dynamic
GIS,General Mill
GM,General Motor
GPC,Genuine Parts Compan
GILD,Gilead Science
GPN,Global Payment
GL,Globe Lif
GDDY,GoDadd
GS,Goldman Sach
HAL,Halliburto
HIG,Hartford (The
HAS,Hasbr
HCA,HCA Healthcar
DOC,Healthpeak Propertie
HSIC,Henry Schei
HSY,Hershey Company (The
HES,Hess Corporatio
HPE,Hewlett Packard Enterpris
HLT,Hilton Worldwid
HOLX,Hologi
HD,Home Depot (The
HON,Honeywel
HRL,Hormel Food
HST,Host Hotels & Resort
HWM,Howmet Aerospac
HPQ,HP Inc
HUBB,Hubbell Incorporate
HUM,Human
HBAN,Huntington Bancshare
HII,Huntington Ingalls Industrie
IBM,IB
IEX,IDEX Corporatio
IDXX,Idexx Laboratorie
ITW,Illinois Tool Work
INCY,Incyt
IR,Ingersoll Ran
PODD,Insulet Corporatio
INTC,Inte
ICE,Intercontinental Exchang
IFF,International Flavors & Fragrance
